instructor_user_id,charge_amount,charge_application_fee,event_complete_timestamp,credit_amount,credit_application_fee,product_kind,created_at
1048,12.9,1.55,NULL,0,0,4,1610428827
1048,0,0,1610429338,0,0,1,1610428851
1039,10,1.2,NULL,0,0,4,1610448141
1012,40,4.8,NULL,0,0,4,1610452306
1012,0,0,1610453676,0,0,1,1610452358
1048,10,1.2,NULL,0,0,4,1610455018
1048,0,0,1610459423,0,0,1,1610456349
1059,19.36,2.32,NULL,0,0,4,1610456439
1059,0,0,NULL,0,0,1,1610456481
1059,0,0,NULL,0,0,1,1610456485
1059,0,0,NULL,0,0,1,1610456490
1059,0,0,NULL,0,0,1,1610456612
1059,0,0,NULL,0,0,1,1610456632
1048,0,0,1610459423,0,0,1,1610456777
1048,0,0,1610459423,0,0,1,1610456839
1059,11.61,0,NULL,18.39,0,4,1610457371
1059,0,0,NULL,0,0,1,1610457424
1059,1,0.12,NULL,9,1.08,4,1610457641
1059,0,0,NULL,0,0,1,1610457669
1059,0,0,NULL,0,0,1,1610457674
1059,1,0.12,NULL,18.36,2.2,4,1610458090
1059,0,0,NULL,0,0,1,1610458090
1059,1,0,NULL,14,0,4,1610458296
1059,1,0.12,NULL,8.68,1.04,4,1610458358
1059,0,0,NULL,0,0,6,1610458379
1039,10,1.2,NULL,0,0,4,1610458442
1039,0,0,NULL,0,0,1,1610458442
1059,0,0,NULL,0,0,1,1610458567
1059,0,0,NULL,0,0,1,1610458569
1039,0,0,NULL,0,0,1,1610458629
1039,0,0,NULL,0,0,1,1610458804
1059,1,0.12,NULL,8.68,1.04,4,1610459761
1039,7.18,0.86,NULL,5.72,0.69,4,1610461530
1039,6.45,0.78,NULL,0,0,4,1610461928
1039,12.9,1.55,NULL,0,0,4,1610463188
1039,12.9,1.55,NULL,0,0,4,1610464877
1039,12.9,1.55,NULL,0,0,4,1610465360
1059,1,0.12,NULL,8.19,0.98,4,1610516017
1059,0,0,NULL,10,0,1,1610516193
1059,1,0.12,NULL,14.72,1.77,4,1610516240
1059,0,0,NULL,0,0,1,1610516277
1059,0,0,NULL,0,0,1,1610516284
1062,20,0,NULL,0,0,1,1610516879
1059,1,0.12,NULL,14.72,1.77,4,1610517806
1012,34.47,4.14,NULL,28.39,3.41,4,1610517810
1059,0,0,NULL,0,0,1,1610517812
1059,0,0,NULL,0,0,1,1610517816
1059,0,0,NULL,0,0,1,1610517828
1012,0,0,1610518969,0,0,1,1610517972
1039,1,0.12,NULL,5.13,0.62,4,1610518058
1012,0,0,1610518969,0,0,1,1610518152
1059,3.43,0.41,NULL,14.96,1.8,4,1610518189
1062,102,8.16,NULL,8,0.64,4,1610518197
1059,0,0,NULL,0,0,1,1610518212
1059,0,0,NULL,0,0,1,1610518216
1059,0,0,NULL,0,0,1,1610518310
1039,1.26,0.15,NULL,4.87,0.59,4,1610518589
1059,30,3.6,NULL,0,0,5,1610518671
1048,0,0,1610520148,0,0,1,1610518748
1048,0,0,1610520148,0,0,1,1610518761
1048,0,0,1610520148,0,0,1,1610518772
1048,0,0,1610520148,0,0,1,1610518869
1059,1,0.12,NULL,29,3.48,4,1610518870
1039,6.45,0.78,NULL,5.81,0.7,4,1610518871
1059,0,0,NULL,0,0,1,1610518883
1059,0,0,NULL,0,0,1,1610518890
1059,11.58,1.39,NULL,18.42,2.21,5,1610518958
1048,12,1.44,1610519988,0,0,3,1610519988
1048,0,0,1610522086,0,0,1,1610520266
1048,0,0,1610522086,0,0,1,1610520294
1048,0,0,NULL,0,0,1,1610520298
1048,0,0,1610522086,0,0,1,1610520314
1048,0,0,1610522086,0,0,1,1610520325
1048,0,0,1610522086,0,0,1,1610520363
1048,0,0,1610522086,0,0,1,1610520766
1039,6.45,0.78,NULL,5.81,0.7,4,1610521446
1048,0,0,NULL,0,0,1,1610525614
1048,0,0,NULL,0,0,1,1610525639
1048,0,0,1610526243,0,0,1,1610525647
1048,0,0,1610526243,0,0,1,1610525659
1048,0,0,NULL,0,0,1,1610525677
1048,0,0,1610526243,0,0,1,1610525688
1048,0,0,1610526243,0,0,1,1610525731
1039,12.26,1.47,NULL,0,0,4,1610530716
1012,0,0,NULL,0,0,1,1610531117
1012,0,0,NULL,0,0,1,1610531231
1039,0,0,1610532698,0,0,1,1610531331
1059,10,1.2,1610534549,0,0,1,1610531959
1012,0,0,1610534214,0,0,1,1610533413
1048,0,0,1610535964,0,0,1,1610534343
1048,0,0,1610535964,0,0,1,1610534365
1048,0,0,1610535964,0,0,1,1610534391
1048,0,0,1610535964,0,0,1,1610534824
1012,0,0,1610536330,0,0,1,1610535205
1048,15.72,1.89,NULL,0,0,4,1610536234
1044,13.48,1.62,NULL,0,0,4,1610536339
1039,1,0.12,NULL,11.26,1.35,4,1610536623
1044,10,0,NULL,0,0,1,1610537183
1028,6.78,0.81,NULL,0,0,6,1610537430
0,50,0,NULL,0,0,7,1610537469
1044,2.94,0.35,NULL,0,0,6,1610537527
1039,0,0,NULL,0,0,1,1610538283
1039,0,0,NULL,0,0,1,1610538481
1039,0,0,NULL,0,0,1,1610538513
1068,0,0,NULL,0,0,1,1610538514
1039,0,0,NULL,20,0,1,1610542620
1039,5.17,0,NULL,14.83,0,1,1610542901
1031,0,0,1610543924,0,0,1,1610543536
1039,0,0,NULL,0,0,1,1610544281
1039,5,0,NULL,15,0,1,1610544525
1048,0,0,1610545542,0,0,1,1610544624
1039,2,0,NULL,18,0,1,1610545216
1028,0,0,NULL,0,0,1,1610547210
1028,0,0,NULL,0,0,1,1610547293
1028,0,0,NULL,0,0,1,1610547382
1028,0,0,NULL,0,0,1,1610547414
1028,0,0,NULL,0,0,1,1610547448
1048,0,0,1610548061,0,0,1,1610547455
1044,0,0,NULL,0,0,1,1610547490
1039,9,0,NULL,11,0,1,1610548991
1039,1,0.12,NULL,5.13,0.62,4,1610550081
1039,4.32,0,NULL,15.68,0,1,1610550639
1039,14.43,1.73,NULL,17,2.04,4,1610551176
1039,0,0,NULL,0,0,1,1610551176
1039,12.43,1.49,NULL,19,2.28,4,1610551507
1039,0,0,NULL,0,0,1,1610551508
1039,31.43,3.77,NULL,0,0,4,1610551704
1039,26.43,3.17,NULL,5,0.6,4,1610552413
1039,0,0,NULL,0,0,1,1610552413
1010,1,0.12,NULL,17.39,2.09,4,1610563628
1039,23.57,2.83,NULL,5,0.6,4,1610601246
1039,0,0,NULL,0,0,1,1610601246
1039,23.57,2.83,NULL,5,0.6,4,1610602187
1039,0,0,NULL,0,0,1,1610602187
1028,1,0.12,NULL,16.42,1.97,4,1610602473
1028,1,0.12,NULL,16.42,1.97,4,1610602649
1012,0,0,1610603325,0,0,1,1610602671
1062,92,7.36,NULL,8,0.64,4,1610602689
1062,100,8,NULL,0,0,4,1610606168
1012,0,0,NULL,0,0,1,1610607265
1048,0,0,1610611439,0,0,1,1610608257
1062,100,8,NULL,0,0,4,1610608357
1048,0,0,1610611439,0,0,1,1610608392
1048,0,0,1610611439,0,0,1,1610608482
1048,0,0,1610611439,0,0,1,1610608564
1048,0,0,1610611439,0,0,1,1610608583
1048,0,0,1610611439,0,0,1,1610608870
1048,0,0,1610614266,0,0,1,1610611537
1048,0,0,1610614266,0,0,1,1610611739
1048,0,0,1610614266,0,0,1,1610611858
1048,0,0,1610614266,0,0,1,1610611914
1048,0,0,1610614266,0,0,1,1610611941
1039,1,0.12,NULL,27.57,3.31,4,1610618668
1012,0,0,1610619840,0,0,1,1610618979
1048,11.61,1.39,NULL,0,0,4,1610619683
1048,0,0,1610622206,0,0,1,1610619739
1048,0,0,1610622206,0,0,1,1610619762
1048,0,0,1610622206,0,0,1,1610619791
1048,0,0,1610622206,0,0,1,1610620156
1048,0,0,1610622206,0,0,1,1610620163
1012,0,0,1610625412,0,0,1,1610624870
1012,0,0,1610625412,0,0,1,1610624950
1062,100,8,NULL,0,0,4,1610630127
1062,100,8,NULL,0,0,4,1610630437
1062,100,8,NULL,50,4,4,1610631088
1062,20,1.6,NULL,80,6.4,4,1610631798
1012,0,0,1610635144,0,0,1,1610634068
1039,11.61,1.39,NULL,0,0,4,1610635077
1039,0,0,NULL,0,0,1,1610635077
1039,9.03,0,NULL,10.97,0,1,1610635259
1039,1,0.12,NULL,16.42,1.97,4,1610635531
1039,0,0,NULL,0,0,1,1610635531
1039,13.84,1.66,NULL,3.58,0.43,4,1610635688
1048,0,0,1610638584,0,0,1,1610635991
1048,0,0,1610638584,0,0,1,1610636001
1048,0,0,1610638584,0,0,1,1610636066
1048,0,0,1610638584,0,0,1,1610636119
1048,0,0,1610638584,0,0,1,1610636151
1048,0,0,1610638584,0,0,1,1610636213
1039,14.42,1.73,NULL,3,0.36,4,1610636563
1039,1,0.12,NULL,16.42,1.97,4,1610636832
1039,0,0,NULL,0,0,1,1610636832
1039,8.69,1.04,NULL,49.38,5.93,4,1610637214
1039,0,0,NULL,20,0,1,1610638920
1039,0,0,NULL,20,0,1,1610638971
1039,0,0,NULL,20,0,1,1610639203
1039,4.19,0.5,NULL,24.84,2.98,4,1610639254
1039,0,0,NULL,0,0,1,1610639254
1039,1,0.12,NULL,13.29,1.6,4,1610641342
1039,0,0,NULL,0,0,1,1610641342
1039,1,0.12,NULL,13.29,1.6,4,1610641520
1039,43.44,0,NULL,56.56,0,1,1610641940
1039,10,1.2,1610642177,0,0,2,1610642177
1028,17.42,2.09,NULL,0,0,4,1610645990
1015,116.13,13.94,NULL,0,0,4,1610646040
1044,14.29,1.72,NULL,0,0,4,1610646071
1048,0,0,1610692272,0,0,1,1610689697
1048,0,0,1610692272,0,0,1,1610689843
1048,0,0,1610692272,0,0,1,1610690213
1048,0,0,1610692272,0,0,1,1610690264
1012,0,0,NULL,0,0,1,1610692370
1012,0,0,1610693500,0,0,1,1610692487
1048,0,0,NULL,0,0,1,1610692527
1048,0,0,NULL,0,0,1,1610692579
1048,0,0,NULL,0,0,1,1610692598
1048,0,0,NULL,0,0,1,1610692708
1048,0,0,NULL,0,0,1,1610692718
1048,0,0,NULL,0,0,1,1610692725
1010,16.45,1.97,NULL,0,0,4,1610693411
1010,0,0,1610696003,0,0,1,1610693411
1048,0,0,1610696920,0,0,1,1610695925
1010,0,0,NULL,0,0,1,1610696077
1048,0,0,1610698503,0,0,1,1610697603
1010,16.45,1.97,NULL,0,0,4,1610698372
1048,0,0,1610703727,0,0,1,1610703257
1048,0,0,1610703727,0,0,1,1610703550
1048,0,0,1610704763,0,0,1,1610703836
1048,0,0,1610704763,0,0,1,1610703848
1012,0,0,1610706776,0,0,1,1610705049
1010,0,0,1610712195,0,0,1,1610709272
1010,10,1.2,1610712195,0,0,1,1610709330
1069,0,0,NULL,0,0,1,1610709693
1069,0,0,NULL,0,0,1,1610709703
1069,37.84,4.54,NULL,0,0,4,1610709782
1069,37.84,4.54,NULL,0,0,4,1610709839
1069,37.84,4.54,NULL,0,0,4,1610709873
1010,10,1.2,1610712195,0,0,1,1610709954
1069,0,0,1610711845,0,0,1,1610710119
1069,0,0,1610711845,0,0,1,1610710124
1069,0,0,1610711845,0,0,1,1610710131
1069,0,0,1610712280,0,0,1,1610711888
1069,0,0,1610712280,0,0,1,1610711890
1069,0,0,1610712280,0,0,1,1610711894
1069,0,0,NULL,0,0,1,1610712303
1069,0,0,NULL,0,0,1,1610712307
1069,0,0,NULL,0,0,1,1610712312
1069,0,0,1610713529,0,0,1,1610712641
1069,0,0,1610713529,0,0,1,1610712645
1069,0,0,1610713529,0,0,1,1610712655
1048,0,0,1610713307,0,0,1,1610712999
1048,0,0,1610713658,0,0,1,1610713378
1048,0,0,1610714064,0,0,1,1610713702
1048,0,0,1610714575,0,0,1,1610714121
1039,1,0.12,NULL,15.45,1.85,4,1610714538
1028,0,0,NULL,0,0,1,1610714569
1048,0,0,1610715162,0,0,1,1610714682
1012,0,0,NULL,0,0,1,1610714800
1048,12.86,1.54,NULL,0,0,4,1610715182
1048,0,0,1610715683,0,0,1,1610715211
1028,0,0,NULL,0,0,1,1610715898
1028,0,0,NULL,0,0,1,1610716350
1043,10,1.2,NULL,0,0,5,1610827214
1043,9.65,1.16,NULL,0.35,0.04,5,1610827215
1012,40,4.8,NULL,0,0,5,1610827216
1012,40,4.8,NULL,0,0,5,1610827217
1023,12,1.44,NULL,0,0,5,1610827219
1012,34.28,4.11,NULL,5.72,0.69,5,1610827221
1048,10,1.2,NULL,0,0,5,1610827222
1039,14.52,1.74,NULL,0,0,4,1610871133
1069,0,0,1610955940,0,0,1,1610952523
1069,0,0,1610955940,0,0,1,1610952595
1069,0,0,1610955940,0,0,1,1610952655
1069,0,0,1610957737,0,0,1,1610953563
1069,0,0,1610957737,0,0,1,1610953766
1069,0,0,1610957737,0,0,1,1610953880
1044,0,0,NULL,0,0,1,1610965810
1044,0,0,NULL,0,0,1,1610966019
1044,0,0,NULL,0,0,1,1610966072
1044,0,0,NULL,0,0,1,1610966089
1044,0,0,NULL,0,0,1,1610966106
1044,0,0,NULL,0,0,1,1610966122
1044,0,0,NULL,0,0,1,1610966139
1044,0,0,NULL,0,0,1,1610966153
1044,0,0,NULL,0,0,1,1610966169
1044,0,0,NULL,0,0,1,1610966187
1044,0,0,NULL,0,0,1,1610967306
1044,0,0,NULL,0,0,1,1610967851
1044,0,0,NULL,0,0,1,1610968189
1044,0,0,NULL,0,0,1,1610968208
1048,0,0,NULL,0,0,1,1610973370
1028,0,0,NULL,0,0,1,1610977357
1044,0,0,NULL,0,0,1,1610977627
1044,0,0,NULL,0,0,1,1610977733
1044,0,0,NULL,0,0,1,1610977768
1044,0,0,NULL,0,0,1,1610977782
1044,0,0,NULL,0,0,1,1610977848
1044,0,0,NULL,0,0,1,1610977897
1044,0,0,NULL,0,0,1,1610977921
1044,0,0,NULL,0,0,1,1610977942
1044,0,0,NULL,0,0,1,1610977979
1044,0,0,NULL,0,0,1,1610978103
1044,0,0,NULL,0,0,1,1610978130
1044,0,0,NULL,0,0,1,1610978154
1048,0,0,1610979543,0,0,1,1610978196
1048,0,0,1610979543,0,0,1,1610978900
1048,0,0,1610979543,0,0,1,1610979078
1044,0,0,NULL,0,0,1,1610979198
1044,0,0,NULL,0,0,1,1610979230
1044,0,0,NULL,0,0,1,1610979267
1044,0,0,NULL,0,0,1,1610979301
1044,0,0,NULL,0,0,1,1610979334
1044,0,0,NULL,0,0,1,1610979648
1048,0,0,1611035506,0,0,1,1611034162
1048,0,0,1611035506,0,0,1,1611035191
1048,0,0,1611035506,0,0,1,1611035358
1048,0,0,1611036848,0,0,1,1611036067
1048,0,0,1611036848,0,0,1,1611036734
1048,0,0,1611036848,0,0,1,1611036768
1048,0,0,1611037952,0,0,1,1611037369
1012,0,0,1611038987,0,0,1,1611037684
1048,0,0,1611037952,0,0,1,1611037744
1048,0,0,1611037952,0,0,1,1611037896
1048,0,0,1611042990,0,0,1,1611042569
1048,0,0,1611042990,0,0,1,1611042576
1048,0,0,1611042990,0,0,1,1611042588
1048,0,0,1611042990,0,0,1,1611042606
1034,0,0,1611051553,0,0,1,1611051022
1034,0,0,1611052025,0,0,1,1611051622
1039,11.61,1.39,NULL,0,0,4,1611145162
1039,0,0,NULL,0,0,1,1611145162
1044,0,0,1611149193,0,0,1,1611146713
1028,0,0,NULL,0,0,1,1611146774
1010,0,0,1611147473,0,0,1,1611146887
1028,0,0,NULL,0,0,1,1611146923
1044,0,0,1611149193,0,0,1,1611147048
1044,0,0,1611149193,0,0,1,1611147117
1044,0,0,1611149193,0,0,1,1611147233
1028,0,0,1611149377,0,0,1,1611147538
1028,0,0,1611149377,0,0,1,1611147580
1028,0,0,1611148806,0,0,1,1611147614
1010,10,1.2,1611148391,0,0,1,1611147759
1028,0,0,1611148806,0,0,1,1611148046
1044,0,0,1611151621,0,0,1,1611149322
1044,0,0,1611151621,0,0,1,1611149360
1044,0,0,1611211780,0,0,1,1611208942
1044,0,0,1611211780,0,0,1,1611209013
1044,0,0,1611211780,0,0,1,1611209032
1044,0,0,1611211780,0,0,1,1611209054
1044,0,0,1611211780,0,0,1,1611209076
1048,0,0,NULL,0,0,1,1611209294
1048,10,0,NULL,0,0,1,1611209407
1044,0,0,1611211780,0,0,1,1611209481
1048,0,0,NULL,0,0,1,1611209496
1048,0,0,NULL,0,0,1,1611209664
1048,0,0,NULL,0,0,1,1611210215
1048,0,0,NULL,0,0,1,1611210437
1048,0,0,NULL,0,0,1,1611215539
1048,0,0,NULL,0,0,1,1611215548
1048,0,0,NULL,0,0,1,1611215669
1048,10,0,NULL,10,0,1,1611215808
1048,0,0,NULL,0,0,1,1611216262
1048,0,0,NULL,0,0,1,1611216636
1048,0,0,NULL,0,0,1,1611219862
1048,0,0,NULL,10,0,1,1611219906
1048,0,0,NULL,0,0,1,1611220930
1048,0,0,NULL,0,0,1,1611220986
1010,10,1.2,1611221417,0,0,1,1611221041
1010,10,1.2,1611221417,0,0,1,1611221173
1048,0,0,NULL,0,0,1,1611221541
1048,0,0,NULL,0,0,1,1611221606
1044,0,0,1611223992,0,0,1,1611221624
1044,0,0,1611223992,0,0,1,1611221644
1048,0,0,NULL,0,0,1,1611221668
1044,0,0,1611223992,0,0,1,1611221670
1044,0,0,1611223992,0,0,1,1611221690
1044,0,0,1611223992,0,0,1,1611221709
1028,0,0,1611224153,0,0,1,1611222008
1028,0,0,1611224153,0,0,1,1611222382
1048,0,0,1611225515,0,0,1,1611223445
1048,0,0,NULL,0,0,1,1611223451
1048,0,0,1611225515,0,0,1,1611223459
1010,10,1.2,1611225920,0,0,1,1611225573
1010,10,1.2,1611225920,0,0,1,1611225588
1048,0,0,1611227163,0,0,1,1611226314
1048,0,0,1611227163,0,0,1,1611226320
1048,0,0,1611227163,0,0,1,1611226329
1010,0,0,1611226981,0,0,1,1611226484
1010,0,0,1611226981,0,0,1,1611226501
1010,0,0,1611226981,0,0,1,1611226596
1028,0,0,NULL,0,0,1,1611227594
1010,10,0,NULL,0,0,1,1611228222
1010,10,1.2,1611228678,0,0,1,1611228377
1010,0,0,1611228678,10,1.2,1,1611228381
1010,0,0,1611228678,10,1.2,1,1611228459
1010,0,0,1611230237,0,0,1,1611228821
1044,0,0,1611231145,0,0,1,1611229836
1044,0,0,1611231145,0,0,1,1611229854
1044,0,0,1611231145,0,0,1,1611229876
1044,0,0,1611231145,0,0,1,1611229896
1044,0,0,1611231145,0,0,1,1611229917
1048,0,0,1611231289,0,0,1,1611230183
1048,0,0,1611231289,0,0,1,1611230191
1010,0,0,1611230849,0,0,1,1611230255
1010,0,0,1611231969,0,0,1,1611230963
1010,0,0,1611231969,0,0,1,1611231291
1048,0,0,1611232248,0,0,1,1611231413
1048,0,0,1611232248,0,0,1,1611231436
1044,0,0,NULL,0,0,1,1611233436
1044,0,0,NULL,0,0,1,1611233519
1044,0,0,NULL,0,0,1,1611233542
1044,0,0,NULL,0,0,1,1611233569
1044,0,0,NULL,0,0,1,1611233594
1044,0,0,NULL,0,0,1,1611233618
1010,0,0,1611293756,0,0,1,1611293679
1010,0,0,NULL,0,0,1,1611293764
1010,19.29,2.32,NULL,0,0,4,1611296975
1043,10,1.2,NULL,0,0,5,1611432013
1043,10,1.2,NULL,0,0,5,1611432014
1012,40,4.8,NULL,0,0,5,1611432016
1012,40,4.8,NULL,0,0,5,1611432017
1023,12,1.44,NULL,0,0,5,1611432019
1012,40,4.8,NULL,0,0,5,1611432021
1048,10,1.2,NULL,0,0,5,1611432023
1012,40,4.8,NULL,0,0,5,1611432024
1044,0,0,NULL,10,1.2,5,1611432025
1048,10,1.2,NULL,0,0,5,1611432026
1044,10,1.2,NULL,0,0,5,1611432029
1048,10,1.2,NULL,0,0,5,1611432031
1028,0,0,NULL,0,0,1,1611898943
1028,0,0,NULL,0,0,1,1611898994
1028,0,0,NULL,0,0,1,1611899001
1028,0,0,NULL,0,0,1,1611899065
1028,0,0,NULL,0,0,1,1611899134
1028,0,0,NULL,0,0,1,1611899174
1028,0,0,NULL,0,0,1,1611899181
1028,0,0,NULL,0,0,1,1611899209
1028,0,0,NULL,0,0,1,1611899238
1028,0,0,NULL,0,0,1,1611899544
1059,10,0,NULL,0,0,1,1611899630
1028,0,0,NULL,0,0,1,1611899811
1028,0,0,NULL,0,0,1,1611899917
1028,0,0,NULL,0,0,1,1611899938
1028,0,0,NULL,0,0,1,1611899959
1028,0,0,NULL,0,0,1,1611899981
1028,0,0,NULL,0,0,1,1611900008
1028,0,0,NULL,0,0,1,1611900026
1028,0,0,NULL,0,0,1,1611900044
1028,0,0,NULL,0,0,1,1611900066
1028,0,0,NULL,0,0,1,1611900087
1028,0,0,NULL,0,0,1,1611900107
1059,10,0,NULL,0,0,1,1611900518
1043,10,1.2,NULL,0,0,5,1612036815
1043,10,1.2,NULL,0,0,5,1612036816
1012,40,4.8,NULL,0,0,5,1612036818
1012,40,4.8,NULL,0,0,5,1612036820
1023,12,1.44,NULL,0,0,5,1612036822
1012,40,4.8,NULL,0,0,5,1612036823
1048,10,1.2,NULL,0,0,5,1612036824
1012,40,4.8,NULL,0,0,5,1612036826
1044,0,0,NULL,10,1.2,5,1612036827
1048,10,1.2,NULL,0,0,5,1612036827
1044,10,1.2,NULL,0,0,5,1612036831
1048,10,1.2,NULL,0,0,5,1612036833
1010,15,1.8,NULL,0,0,5,1612036836
1003,90,10.8,NULL,0,0,5,1612123209
1015,100,12,NULL,100,12,5,1612123211
1028,15.78,1.89,NULL,4.22,0.51,5,1612123213
1011,23.19,2.78,NULL,6.81,0.82,5,1612123215
1011,29.65,3.56,NULL,0.35,0.04,5,1612123217
1043,20,2.4,NULL,0,0,5,1612123218
1048,20,2.4,NULL,0,0,5,1612123220
1048,20,2.4,NULL,0,0,5,1612123221
1048,20,2.4,NULL,0,0,5,1612123224
1028,30,3.6,NULL,0,0,5,1612123225
1028,0,0,NULL,30,3.6,5,1612123226
1048,20,2.4,NULL,0,0,5,1612123229
1028,30,3.6,NULL,0,0,5,1612123230
1015,200,24,NULL,0,0,5,1612123232
1010,30,3.6,NULL,0,0,5,1612123233
1010,20,2.4,NULL,0,0,5,1612123236
1069,69,8.28,NULL,0,0,5,1612123237
1069,69,8.28,NULL,0,0,5,1612123238
1039,0,0,NULL,30,3.6,5,1612123239
1069,69,8.28,NULL,0,0,5,1612123240
